ID,ascending10otherwise,age,gender,Date,Condition,DS,AC,ACIR,ACSR,IR.1,IR.2,IR.3,IR.4,IR.5,IR.6,IR.7,IR.8,IR.9,IR.10,SR.1,SR.2,SR.3,SR.4,SR.5,SR.6,SR.7,SR.8,SR.9,SR.10,BeforeDV,AfterDV,DataCollection,ConditionFactor,Exc,difference,filter_$
LS262,1,20,1 Female,4/26/2017,Using,1,Delirium,5,4,views,get weird,purpose,a moon shaped pool,delirium,legend,made in the am,in the lonely hour,a head full of dreams,x,views,get weird,purpose,delirium,made in the am,a moon shaped pool,legend,in the lonely hour,a head full of dreams,x,-1,-3,2,1,0,-2,0
LS263,1,18,1 Female,4/26/2017,Using,1,This is acting,5,4,views,25,best of bowie,x,this is acting,legend,blurry face,a head full of dreams,the very best of,if i can dream,views,25,x,this is acting,best of bowie,legend,blurry face,a head full of dreams,the very best of prince,if i can dream,-1,-2,2,1,0,-1,0
LS264,1,18,2 Male,4/27/2017,Using,1,Blackstar,5,6,a moon shaped pool,best of bowie,legend,the very best of prince,blackstar,views,if i can dream,nothing has changed,blurry face,a head full of dreams,a moon shaped pool,best of bowie,legend,the very best of prince,views,blackstar,if i can dream,a head full of dreams,blurry face,nothing has changed,-1,1,2,1,0,2,0
LS265,0, , ,4/27/2017,Using,1,Blackstar,5,5,a head full of dreams,a moon shaped pool,chaos and the calm,this is acting,blackstar,best of bowie,communion,get weird,i like it when you sleep for you are so,delirium,a head full of dreams,a moon shaped pool,chaos and the calm,best of bowie,blackstar,get weird,this is acting,i like it when you sleep for you are so,delirium,communion,-1,1,2,1,0,2,0
LS266,1,20,2 Male,4/27/2017,Using,1,Blurry face,5,5,views,a head full of dreams,a moon shaped pool,best of bowie,blurry face,chaos and the calm,nothing has changed,this is acting,25,legend,views,a head full of dreams,a moon shaped pool,best of bowie,blurry face,chaos and the calm,nothing has changed,this is acting,25,legend,-1,-1,2,1,0,0,0
LS267,0,19,2 Male,4/28/2017,Using,1,A moon shaped pool,6,3,25,i like it when you sleep for you are so,charleur humaine,chaos and the calm,anti,a moon shaped pool,communion,lemonade,best of bowie,get weird,i like it when you sleep for you are so,25,a moon shaped pool,charleur humaine,chaos and the calm,best of bowie,anti,lemonade,get weird,communion,1,-4,2,1,0,-5,0
LS268,0,18,1 Female,4/28/2017,Using,1,Purpose,5,4,lemonade,nine track mind,in the lonely hour,this is acting,purpose,the very best of prince,if i can dream,i cry when i laugh,50,i like it when you sleep for you are so,lemonade,nine track mind,in the lonely hour,purpose,this is acting,the very best of prince,if i can dream,i cry when i laugh,50,i like it when you sleep for you are so,-1,-2,2,1,0,-1,0
LS269,1,18,1 Female,4/28/2017,Using,1,A moon shaped pool,6,3,blurry face,a head full of dreams,this is acting,25,anti,a moon shaped pool,in the lonely hour,nine track mind,blackstar,50,blurry face,a head full of dreams,a moon shaped pool,anti,25,this is acting,in the lonely hour,nine track mind,blackstar,50,1,-1,2,1,0,-2,0
LS27,0,18,1 Female,11/29/2016,Using,1,Purpose,5,4,This is acting,1989,Beauty behind the madness,Lemonade,Purpose,25,Delirium,Anti,Made in the AM,A head full of dream,This is acting,Beauty behind the madness,Lemonade,Purpose,1989,25,Anti,Delirium,A head full of dreams,Made in the AM,-1,-2,1,1,0,-1,1
LS270,0,18,1 Female,4/28/2017,Using,1,I cry when i laugh,5,5,lemonade,25,views,purpose,i cry when i laugh,this is acting,beauty behind the madness,in the lonely hour,x,anti,lemonade,25,views,purpose,i cry when i laugh,this is acting,beauty behind the madness,in the lonely hour,anti,x,-1,-1,2,1,0,0,0
LS271,1,21,2 Male,4/28/2017,Examining,1,Lemonade,5,5,blurry face,a head full of dreams,25,if i can dream,lemonade,this is acting,a moon shaped pool,the very best of prince,delirium,anti,a head full of dreams,25,blurry face,delirium,lemonade,if i can dream,a moon shaped pool,the very best of prince,this is acting,anti,-1,-4,2,0,0,-3,0
LS272,1,19,1 Female,4/28/2017,Examining,1,Views,5,5,lemonade,x,25,the very best of prince,views,purpose,anti,beauty behind the madness,this is acting,a head full of dreams,lemonade,x,the very best of prince,25,views,purpose,anti,this is acting,beauty behind the madness,a head full of dreams,-1,-1,2,0,0,0,0
