game,round,scoreA,scoreB,percentA,showScore,n_par,gini_all,gmd_all,cumulativePayoff_all,behavior_all,degree_all,trans_all
5,5,1150,200,0.3,false,14,0.157049790600279,688.775510204082,2192.85714285714,0.928571428571429,5,0.422238872238872
5,6,1150,200,0.3,false,14,0.142664092664093,754.081632653061,2642.85714285714,0.857142857142857,4.71428571428571,0.418979829694116
5,7,1150,200,0.3,false,14,0.132488479262673,821.428571428571,3100,0.928571428571429,4.78571428571429,0.407081014223871
5,8,1150,200,0.3,false,14,0.121155504455303,860.204081632653,3550,0.857142857142857,4.85714285714286,0.409662956091528
5,9,1150,200,0.3,false,14,0.118963113195589,957.65306122449,4025,0.928571428571429,5.14285714285714,0.424703669346527
5,10,1150,200,0.3,false,14,0.128849270664506,1135.71428571429,4407.14285714286,0.714285714285714,4.35714285714286,0.356078643578643
6,0,1150,200,0.3,false,18,0.408602150537634,422.222222222222,516.666666666667,NA,3,0.189991181661111
6,1,1150,200,0.3,false,18,0.309752198241407,478.395061728395,772.222222222222,0.833333333333333,4.83333333333333,0.293033818033818
6,2,1150,200,0.3,false,18,0.22461577223482,550.308641975309,1225,0.944444444444444,5.38888888888889,0.350402837902838
6,3,1150,200,0.3,false,18,0.166491688538933,587.345679012346,1763.88888888889,1,6.38888888888889,0.408089377942319
6,4,1150,200,0.3,false,17,0.134803921568627,608.996539792388,2258.82352941176,1,6.58823529411765,0.421614986320869
6,5,1150,200,0.3,false,17,0.122213543231389,703.806228373702,2879.41176470588,0.941176470588235,6.58823529411765,0.423401761637056
6,6,1150,200,0.3,false,17,0.106779661016949,741.176470588235,3470.58823529412,0.882352941176471,6.58823529411765,0.431962971668854
6,7,1150,200,0.3,false,17,0.0979966824039811,797.231833910035,4067.64705882353,0.882352941176471,6.76470588235294,0.445988815106462
6,8,1150,200,0.3,false,17,0.0950397858258348,884.429065743945,4652.94117647059,0.823529411764706,6.64705882352941,0.451703688468394
6,9,1150,200,0.3,false,17,0.0894910773298083,937.024221453287,5235.29411764706,0.882352941176471,6.58823529411765,0.444005994005994
6,10,1150,200,0.3,false,17,0.082691793240793,962.629757785467,5820.58823529412,0.882352941176471,6.52941176470588,0.437830633418869
7,0,1150,200,0.3,true,20,0.405868544600939,432.25,532.5,NA,2.7,0.1507738095275
