game,round,scoreA,scoreB,percentA,showScore,superid,behavior,e_behavior,initial_score,cumulativePayoff,e_cumulativePayoff,e_degree,local_avg_wealth,local_rate_coop,local_cluster
2,4,1150,200,0.3,false,213,1,1,1150,2950,2400,11,2008.3333333333,1,0.8787878788
2,4,1150,200,0.3,false,214,1,1,200,2000,1400,12,2087.5,1,0.8787878788
2,4,1150,200,0.3,false,215,1,1,200,1750,1200,11,2040.9090909091,1,0.8727272727
2,5,1150,200,0.3,false,201,1,1,1150,3400,2850,11,2577.2727272727,1,0.9090909091
2,5,1150,200,0.3,false,202,1,1,200,2600,2050,11,2618.1818181818,1,0.9090909091
2,5,1150,200,0.3,false,203,1,1,200,2400,1900,10,2590,1,0.9333333333
2,5,1150,200,0.3,false,204,1,1,200,2150,1600,11,2680,1,0.9333333333
2,5,1150,200,0.3,false,205,1,1,200,2350,1750,12,2641.6666666667,1,0.9090909091
2,5,1150,200,0.3,false,206,1,1,200,2650,2150,10,2618.1818181818,1,0.9090909091
2,5,1150,200,0.3,false,207,1,1,1150,2850,2400,9,2618.1818181818,1,0.9272727273
2,5,1150,200,0.3,false,208,1,1,1150,2900,2450,9,2660,1,0.9555555556
2,5,1150,200,0.3,false,211,1,1,200,2200,1650,11,2700,1,0.9272727273
2,5,1150,200,0.3,false,212,1,1,200,2100,1550,11,2662.5,1,0.9090909091
2,5,1150,200,0.3,false,213,1,1,1150,3550,2950,12,2541.6666666667,1,0.9090909091
2,5,1150,200,0.3,false,214,1,1,200,2600,2000,12,2620.8333333333,1,0.9090909091
2,5,1150,200,0.3,false,215,1,1,200,2300,1750,11,2577.2727272727,1,0.9090909091
2,6,1150,200,0.3,false,201,1,1,1150,3950,3400,11,3131.8181818182,1,0.9272727273
2,6,1150,200,0.3,false,202,1,1,200,3150,2600,11,3175,1,0.9242424242
2,6,1150,200,0.3,false,203,1,1,200,2900,2400,10,3177.2727272727,1,0.9272727273
2,6,1150,200,0.3,false,204,1,1,200,2650,2150,10,3200,1,0.9636363636
2,6,1150,200,0.3,false,205,1,1,200,2950,2350,12,3191.6666666667,1,0.9242424242
2,6,1150,200,0.3,false,206,1,1,200,3200,2650,11,3170.8333333333,1,0.9242424242
2,6,1150,200,0.3,false,207,1,1,1150,3400,2850,11,3177.2727272727,1,0.9272727273
2,6,1150,200,0.3,false,208,1,1,1150,3400,2900,10,3255.5555555556,1,0.9444444444
2,6,1150,200,0.3,false,211,1,1,200,2750,2200,11,3208.3333333333,1,0.9242424242
2,6,1150,200,0.3,false,212,1,1,200,2700,2100,12,3195.4545454546,1,0.9636363636
2,6,1150,200,0.3,false,213,1,1,1150,4150,3550,12,3091.6666666667,1,0.9242424242
2,6,1150,200,0.3,false,214,1,1,200,3200,2600,12,3150,1,0.9636363636
2,6,1150,200,0.3,false,215,1,1,200,2850,2300,11,3131.8181818182,1,0.9272727273
2,7,1150,200,0.3,false,201,1,1,1150,4500,3950,11,3695.4545454546,1,0.9454545455
2,7,1150,200,0.3,false,202,1,1,200,3750,3150,12,3733.3333333333,1,0.9393939394
2,7,1150,200,0.3,false,203,1,1,200,3450,2900,11,3758.3333333333,1,0.9393939394
2,7,1150,200,0.3,false,204,1,1,200,3200,2650,11,3772.7272727273,1,0.9818181818
2,7,1150,200,0.3,false,205,1,1,200,3550,2950,12,3750,1,0.9393939394
2,7,1150,200,0.3,false,206,1,1,200,3800,3200,12,3718.1818181818,1,0.9818181818
2,7,1150,200,0.3,false,207,1,1,1150,3950,3400,11,3716.6666666667,1,0.9393939394
2,7,1150,200,0.3,false,208,1,1,1150,3850,3400,9,3772.2222222222,1,0.9722222222
2,7,1150,200,0.3,false,211,1,1,200,3350,2750,12,3766.6666666667,1,0.9393939394
2,7,1150,200,0.3,false,212,1,1,200,3250,2700,11,3775,1,0.9393939394
2,7,1150,200,0.3,false,213,1,1,1150,4750,4150,12,3650,1,0.9393939394
2,7,1150,200,0.3,false,214,1,1,200,3750,3200,11,3722.7272727273,1,0.9818181818
2,7,1150,200,0.3,false,215,1,1,200,3400,2850,11,3695.4545454546,1,0.9454545455
2,8,1150,200,0.3,false,201,1,1,1150,5050,4500,11,4236.3636363636,1,1
2,8,1150,200,0.3,false,202,1,1,200,4350,3750,12,4300,1,0.9393939394
2,8,1150,200,0.3,false,203,1,1,200,4050,3450,12,4327.2727272727,1,1
2,8,1150,200,0.3,false,204,1,1,200,3750,3200,11,4350,1,0.9393939394
2,8,1150,200,0.3,false,205,1,1,200,4150,3550,12,4316.6666666667,1,0.9393939394
2,8,1150,200,0.3,false,206,1,1,200,4350,3800,11,4300,1,1
2,8,1150,200,0.3,false,207,1,1,1150,4550,3950,12,4283.3333333333,1,0.9393939394
2,8,1150,200,0.3,false,208,1,1,1150,4300,3850,9,4237.5,1,1
2,8,1150,200,0.3,false,211,1,1,200,3950,3350,12,4333.3333333333,1,0.9393939394
2,8,1150,200,0.3,false,212,1,1,200,3850,3250,12,4341.6666666667,1,0.9393939394
2,8,1150,200,0.3,false,213,1,1,1150,5350,4750,12,4216.6666666667,1,0.9393939394
2,8,1150,200,0.3,false,214,1,1,200,4300,3750,11,4304.5454545455,1,1
2,8,1150,200,0.3,false,215,1,1,200,3950,3400,11,4333.3333333333,1,0.9393939394
2,9,1150,200,0.3,false,201,1,1,1150,5600,5050,11,4822.7272727273,1,1
2,9,1150,200,0.3,false,202,1,1,200,4950,4350,12,4866.6666666667,1,0.9545454545
