game,round,scoreA,scoreB,percentA,showScore,superid,behavior,e_behavior,initial_score,cumulativePayoff,e_cumulativePayoff,e_degree,local_avg_wealth,local_rate_coop
9,2,500,500,0.5,true,905,1,1,500,1000,650,9,695,0.888888888888889
9,2,500,500,0.5,true,906,1,1,500,950,700,9,790,0.777777777777778
9,2,500,500,0.5,true,907,1,1,500,800,550,9,760,0.777777777777778
9,2,500,500,0.5,true,908,1,1,500,850,600,7,750,0.857142857142857
9,2,500,500,0.5,true,909,0,0,500,1300,1000,5,808.333333333333,0.6
9,2,500,500,0.5,true,910,1,1,500,1000,750,9,720,0.888888888888889
9,2,500,500,0.5,true,911,1,1,500,850,650,8,766.666666666667,0.75
9,2,500,500,0.5,true,912,0,0,500,1600,1100,7,700,0.857142857142857
9,2,500,500,0.5,true,913,1,1,500,1050,650,8,661.111111111111,1
9,2,500,500,0.5,true,914,0,0,500,1100,900,6,814.285714285714,0.5
9,2,500,500,0.5,true,915,0,0,500,1200,800,5,766.666666666667,0.8
9,2,500,500,0.5,true,916,1,1,500,1250,800,11,691.666666666667,0.909090909090909
9,2,500,500,0.5,true,917,0,1,500,950,450,8,755.555555555556,0.625
9,2,500,500,0.5,true,918,1,1,500,1150,750,8,777.777777777778,0.875
9,2,500,500,0.5,true,919,1,1,500,1100,800,8,772.222222222222,0.75
9,2,500,500,0.5,true,920,1,0,500,1350,1100,7,806.25,0.857142857142857
10,2,500,500,0.5,false,1000,1,1,500,800,500,10,672.727272727273,0.6
10,2,500,500,0.5,false,1001,1,1,500,750,500,7,631.25,0.857142857142857
10,2,500,500,0.5,false,1002,0,0,500,1200,800,6,714.285714285714,0.5
10,2,500,500,0.5,false,1003,1,0,500,1050,900,5,633.333333333333,0.8
10,2,500,500,0.5,false,1004,1,1,500,650,550,10,695.454545454545,0.6
10,2,500,500,0.5,false,1005,1,1,500,750,500,5,541.666666666667,1
10,2,500,500,0.5,false,1006,1,1,500,800,550,5,608.333333333333,0.8
10,2,500,500,0.5,false,1007,1,1,500,1200,700,10,600,0.9
10,2,500,500,0.5,false,1008,1,1,500,550,450,4,760,0.5
10,2,500,500,0.5,false,1009,1,1,500,850,650,6,700,0.833333333333333
10,2,500,500,0.5,false,1010,1,1,500,900,600,8,627.777777777778,0.875
10,2,500,500,0.5,false,1011,1,1,500,900,600,6,635.714285714286,0.833333333333333
10,2,500,500,0.5,false,1012,1,1,500,1000,650,7,593.75,1
